2023-06-30 10:41:15,546; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:15,547; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:16,549; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:16,551; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:17,554; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:17,556; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:17,558; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:17,559; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:18,561; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:18,563; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:19,565; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:19,567; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
2023-06-30 10:41:19,569; INFO; on; [sup: G2S0_E1S1_E2S0 -> G2S1_E1S0_E2S0]
2023-06-30 10:41:19,570; INFO; off; [sup: G2S1_E1S0_E2S0 -> G2S0_E1S0_E2S0]
2023-06-30 10:41:20,572; INFO; btn; [sup: G2S0_E1S0_E2S0 -> G2S0_E1S1_E2S1]
2023-06-30 10:41:20,575; INFO; on; [sup: G2S0_E1S1_E2S1 -> G2S1_E1S0_E2S1]
2023-06-30 10:41:21,577; INFO; btn; [sup: G2S1_E1S0_E2S1 -> G2S1_E1S1_E2S0]
2023-06-30 10:41:21,579; INFO; off; [sup: G2S1_E1S1_E2S0 -> G2S0_E1S1_E2S0]
